Latitude;Longitude
9.4814024381;-82.597764954
-20.3500383333;57.7298616667
9.004033925;-79.5063144621
8.1315406882;-80.8565539867
9.1690101174;-79.5421203598
8.5486102561;-83.0899945516
-4.6175035205;55.4300117979
-4.6175035205;55.4300117979
7.65202163;125.98101519
21.4830684068;-98.9683924543
21.4830609192;-98.9683160114
-6.7467718056;111.0363006389
7.8042865;98.2992724
6.274521;-75.570676
18.2390471175;-66.0603949708
1.2800436101;103.7964100187
1.4053177695;103.7932910821
16.709005;98.5707383333
7.5569979451;99.7777077409
-0.4828578634;34.5079479465
-13.3930211957;48.2841436643
19.4520075073;-70.7461572066
9.9715866715;-84.384125
1.4091933883;103.8696136801
1.4087732095;103.8695152321
23.186944;113.364357
14.5758571389;102.15234375
4.8111910278;-75.8691863889
8.62902805;-83.15874418
3.1875415516;-76.449140422
9.4166894013;-84.0161791071
14.8502926645;-85.8908115542
0.4971167286;121.5297743306
14.0860855138;105.8799184321
18.3127724754;-65.7704237203
-12.834791186;45.1644372513
3.7956571108;-74.8532066122
-18.2263616667;177.7734533333
-13.2559570464;-176.1727313209
9.750378032;-82.8861740466
-15.7026722222;46.3438694444
19.3134316709;-81.1690590811
-21.2275003021;48.2151708265
-21.2186126708;48.2310714719
-21.258879212;47.4046392104
-7.8834732118;110.1406272365
14.3902333333;-90.8766466667
8.4436423;-83.2831898997
18.1191993971;-66.1516766623
26.4354570185;-81.7983233309
3.015693;101.696911
15.34957558;120.57311789
18.3130683;-65.7703632997
7.1113603;125.3438821
7.9894351944;-80.4277953889
7.0416900828;100.5116622991
13.4126116667;99.948905
13.6698054079;-89.246762511
13.6693159601;-89.2467029501
22.4474867048;114.0406821486
22.2785805556;114.1379388889
22.2779675869;114.1564142704
14.4797479967;-90.4781852291
14.8407297;-85.8876686
21.8795999397;-102.303249836
2.0300663487;103.3184636012
1.55903;103.6356416667
18.8609616667;99.0979528333
1.5583496377;103.6383529007
8.686882;-83.4885773333
10.0380983389;-84.3653607372
18.2112;-67.1412583333
10.460145;-84.6737216667
18.48904281;-69.95850354
13.9172918;100.5600266
-7.4973692;112.7163806
9.187095;-83.72338
7.9899549444;-80.7174606111
9.250217091;-83.8373673535
3.2547674027;-76.5601108815
4.7830990934;-74.0559508668
9.4035716667;-84.1586
9.408905983;-84.1611633301
1.3651;103.838295
18.8896103;98.8582237
5.4410639722;-53.3162579722
10.2218074593;-83.2908279946
10.4309267926;-84.0053540199
8.5423418;-83.366916
9.2488182141;-83.7775059406
-8.6617529717;115.1377669717
9.301733017;-82.1714477539
13.10274857;99.9372727661
7.2791535872;80.2140202156
9.2384170056;-83.8459761813
14.9912553;102.0729769997
21.9259319477;101.2510417087
25.7587308496;-80.1963627711
13.8381967927;100.661812015
11.031448;-85.05329
-13.3198263515;48.1931570917
8.9655354186;-79.5331254572
9.8538;-85.4701388889
9.867793;76.299032
9.9116430069;-83.6927106622
-16.7856111111;-151.4867388889
13.8696638889;100.4953388889
21.9263884689;101.2515223441
-16.61564;-151.4862
-16.65276;-151.52528
1.3103838256;103.8162716538
18.7939033333;98.9892966667
-17.5451224717;-149.8398863991
-13.8974931;-171.7935888
-13.8893333333;-171.7970416667
14.0086908405;-87.0113187656
9.76859;76.31821
21.9251302229;101.2570795068
9.3563511671;-82.5979817189
-17.6433342417;-149.4330563757
-13.882505;-171.7543333333
17.01419445;99.586905
6.2430033333;-75.5795066667
21.930665;101.2481016667
-21.3057756581;55.4231145759
-7.1099458034;108.7059308589
1.2845972222;103.8626027778
-13.8096686469;-171.6325283478
19.9202888889;99.8851
-13.8456059079;-171.7712926741
11.0212498898;-74.8506032086
15.4375381389;74.9851684444
9.247545;-83.8534616667
8.5093387;-79.9502225
18.8666765;99.3545144997
17.7364759601;-64.8900907964
9.005075;-79.58683
8.9956485;-79.5228053
8.0041303633;-81.2768783567
8.0090579997;-81.2787193
9.5153933206;-82.5959450752
7.9329916667;-81.2990166667
9.315705;-79.89775
-6.8217630278;108.4781951667
-8.6686030595;115.2050755426
-7.5595644163;110.8588932641
-17.7982374643;-149.2914309146
9.735864632;-82.8378695209
-7.3085236588;108.2082045511
9.7975194444;76.3498666667
10.4820966667;-84.6315688889
9.3802997181;-84.1137457861
10.1413357717;-83.2223555105
10.3769878768;-83.937388822
18.3405549824;-65.7544344664
-13.39345;48.2816
-8.50387;115.2495716667
9.1873121262;-83.7688751221
4.3315087997;-75.8240605997
19.3167633333;-81.3796266667
-16.9064197216;145.7046400851
12.6325361705;-87.3619771115
4.9138525799;-52.2691608533
15.5224333333;-61.41667
-24.719725;152.2758638889
12.189455;76.642543
8.6729470734;-83.305948265
10.0129972167;76.30008
9.599695;-85.0896528333
18.0236125105;-66.8481502709
18.2340958564;-66.835357733
-3.3418576451;-79.7105352581
9.0024066997;-79.5774401
20.5137869825;-97.461919561
-9.3479469299;-140.0843807844
18.5062533333;-67.0954666667
18.5077083333;-67.09645
7.1398936352;-73.1200214848
18.9161884026;98.9489109439
9.9069266179;76.3241095841
7.3394216667;134.4601283333
-14.2674751997;-170.6507392
18.7931633333;98.966155
-21.1441490994;-175.2071729064
16.3319083333;-61.3878966667
1.5597555556;125.1732388889
9.7450001053;-82.8541761405
8.8707268434;76.6029499841
7.8436878;98.29577292
18.3499916667;-65.6978916667
18.349980555;-65.697905555
2.8127725;11.1661148
13.8853652403;100.6435358618
-17.6679976159;177.5420531631
-2.1222856874;-79.4787870348
9.2338056564;-82.3370132446
0.6172147;123.919245
13.8479518611;100.6791353134
3.3782893785;-76.5277455747
4.624175;101.0893083333
1.3520736236;103.8198358566
7.0839798184;125.5080546833
13.6230063;100.63599709
